semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2022-10-31,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,44,10
2022-11-07,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,45,11
2022-11-14,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,46,11
2022-11-21,AEROPORTO,0,1.0,0.0,0.0,0.25,1.0,47,11
2022-11-28,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,48,11
2022-12-05,AEROPORTO,0,0.0,0.0,1.0,0.25,0.0,49,12
2022-12-12,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,50,12
2022-12-19,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,51,12
2022-12-26,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,52,12
2023-01-02,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,1,1
2023-01-09,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,2,1
2023-01-16,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,3,1
2023-01-23,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,4,1
2023-01-30,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,5,1
2023-02-06,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,6,2
2023-02-13,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,7,2
2023-02-20,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,8,2
2023-02-27,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,9,2
2023-03-06,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,10,3
2023-03-13,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,11,3
2023-03-20,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,12,3
2023-03-27,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,13,3
2023-04-03,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,14,4
2023-04-10,AEROPORTO,0,1.0,0.0,0.0,0.25,1.0,15,4
